ballotid,st,state,stateno,state_fips,state_icpsr,year,ballotname,ballotdescrip,type,electiontype,passed,pctyesvotes,unknownstatus,unofficialvotetotal,topicarea,abort,agricult,animalrights_huntfish,arts_cult,banking_finance,bond_meas,budgets,bus_commerce,civil_conlaw,criminal,drug,econdev,ed_higher,ed_prek12,elections,elections_initiative,energy_electric,environ,ethics_lobby_camfin,fedgov,gambling_lottery,health,humanservices,insurance,judiciary,juvenile_justice,labor_employ,landuse_proprights,legislatures,localgov,military_vet,natresourc,redistricting,stategov,tribalrelat,tax_rev,telecom_it,termlimits,transportation,cumulbystate,totalbystate
IN3,IN,Indiana,14,18,22,1996 ,Public Question 1,Victims' rights, Legislative Referendum , General,1,,0,0, Civil & Constitutional Law | Criminal Justice ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
IN4,IN,Indiana,14,18,22,1998 ,Public Question 2,Residency Requirements for State Officials, Legislative Referendum , General,1,71.09999847,0,0, State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,11
IN5,IN,Indiana,14,18,22,1998 ,Public Question 1,Protect Right to Vote, Legislative Referendum , General,1,87.09999847,0,0, Elections ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
IN6,IN,Indiana,14,18,22,2000 ,Public Question 1,Amend the constitution so that criminal appeals from a sentence of life imprisonment or a prison term of more than fifty years follow the same path through the Court of Appeals to the Indiana Supreme Court that civil appeals do, Legislative Referendum , General,1,64,0,0, Criminal Justice ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
IN7,IN,Indiana,14,18,22,2004 ,Public Question 1,Property Tax Exemptions, Legislative Referendum , General,1,70.80000305,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,11
IN8,IN,Indiana,14,18,22,2004 ,Public Question 2,Terms of County Officers, Legislative Referendum , General,1,86.40000153,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,11
IN9,IN,Indiana,14,18,22,2004 ,Public Question 3,Line of Gubernatorial Succession, Legislative Referendum , General,1,86.59999847,0,0, State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,11
IN10,IN,Indiana,14,18,22,2010 ,Public Question 1,Property Tax Cap, Legislative Referendum , General,1,71.90000153,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,11
IN11,IN,Indiana,14,18,22,2016 ,Question 1,Right to Hunt and Fish Amendment, Legislative Referendum , General,1,78.09999847,0,1, Animal Rights/Hunting & Fishing ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
IA1,IA,Iowa,15,19,31,1980 ,Constitutional Convention Question,Constitutional Convention, Other , General,0,38.70000076,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
IA2,IA,Iowa,15,19,31,1990 ,Constitutional Convention Question,Constitutional Convention, Other , General,0,26.79999924,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
IA3,IA,Iowa,15,19,31,1996 ,Constitutional Amendment,Revenue for Fish and Wildlife Programs, Legislative Referendum , General,1,,0,0, Animal Rights/Hunting & Fishing | Budgets | Natural Resources ,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11
IA4,IA,Iowa,15,19,31,1998 ,Chapter 217,Offenses Tried without Indictment, Legislative Referendum , General,1,63.90000153,0,0, Criminal Justice ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
IA5,IA,Iowa,15,19,31,1998 ,Chapter 216,Equal Rights, Legislative Referendum , General,1,83.59999847,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
IA6,IA,Iowa,15,19,31,1999 ,Amendment 2,"Requires 60% majority in the Legislature to raise state income, sales or use taxes or to create a new tax", Legislative Referendum , Special,0,48,0,0, Legislatures | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,11
IA7,IA,Iowa,15,19,31,1999 ,Amendment 1,"Limit spending to 99% of revenue raised; require a balanced state budget; make permanent a 10% ""rainy day"" fund", Legislative Referendum , Special,0,49,0,0, Budgets ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
IA8,IA,Iowa,15,19,31,2000 ,Measure,Constitutional Convention Question, Other , General,0,33.43999863,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11
IA9,IA,Iowa,15,19,31,2008 ,Constitutional Amendment Question,Qualifications of Electors, Legislative Referendum , General,1,81.5,0,0, Civil & Constitutional Law | Elections ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11
IA10,IA,Iowa,15,19,31,2010 ,Constitutional Convention Question,Constitutional Convention, Other , General,0,32.79999924,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11
IA11,IA,Iowa,15,19,31,2010 ,Constitutional Amendment 1,Natural Resources and Outdoor Recreation Trust Fund, Legislative Referendum , General,1,62.59999847,0,0, Budgets | Natural Resources ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,11
KS1,KS,Kansas,16,20,32,1999 ,Statewide Ballot Question,Exempt oil and gas production equipment from property tax, Legislative Referendum , Special,0,42,0,0, Business & Commerce | Energy & Electric Utilities | Natural Resources | Tax & Revenue ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9
KS2,KS,Kansas,16,20,32,2000 ,Chapter 190,Allow the legislature to classify and tax aircraft and watercraft upon a basis different from other property, Legislative Referendum , General,0,49,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9
KS3,KS,Kansas,16,20,32,2000 ,Chapter 184,Allow any retirement or pension plan authorized pursuant to the laws of this state to be a stockholder in any banking institution, Legislative Referendum , General,1,62,0,0, Banking & Financial Services | Labor & Employment | State Government ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,9
KS4,KS,Kansas,16,20,32,2005 ,Constitutional Amendment,Same-Sex Marriage Ban, Legislative Referendum , Special,1,69.90000153,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
KS5,KS,Kansas,16,20,32,2010 ,Constitutional Amendment 2,Repeal Exclusion of Persons with Mental Illness from Voting, Legislative Referendum , General,1,62.40000153,0,0, Civil & Constitutional Law | Elections ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
KS6,KS,Kansas,16,20,32,2010 ,Constitutional Amendment 1,Right to Keep and Bear Arms, Legislative Referendum , General,1,88.19999695,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
KS7,KS,Kansas,16,20,32,2012 ,HCR 5017,Constitutional Amendment Authorizing Legislature to Provide for Classification and Taxation of Watercraft, Legislative Referendum , General,1,53.59999847,0,1, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,9
KS8,KS,Kansas,16,20,32,2014 ,SCR 1618,Proposal to Authorize Raffles, Legislative Referendum , General,1,74.59999847,0,1, Gambling & Lotteries ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
KS9,KS,Kansas,16,20,32,2016 ,Amendment 1,Right to Hunt and Fish Amendment, Legislative Referendum , General,1,81.30000305,0,1, Animal Rights/Hunting & Fishing ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
KY1,KY,Kentucky,17,21,51,1973 ,Amendment 2,Unknown, Legislative Referendum , General,0,38.79999924,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31
KY2,KY,Kentucky,17,21,51,1973 ,Amendment 1,State Board of Education, Legislative Referendum , General,0,46.09999847,0,0, Education: PreK-12 | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,31
KY3,KY,Kentucky,17,21,51,1975 ,Amendment 1,Judiciary, Legislative Referendum , General,1,54.5,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31
KY4,KY,Kentucky,17,21,51,1975 ,Amendment 2,Property Tax Exemption, Legislative Referendum , General,1,61.09999847,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,31
KY5,KY,Kentucky,17,21,51,1977 ,Amendment 1,Constitutional Convention, Legislative Referendum , General,0,39.29999924,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31
KY6,KY,Kentucky,17,21,51,1979 ,Amendment 1,Voting on Constitutional Amendments, Legislative Referendum , General,1,57.79999924,0,0, Civil & Constitutional Law | Elections ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31
KY7,KY,Kentucky,17,21,51,1979 ,Amendment 2,Legislature, Legislative Referendum , General,1,59.59999847,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,31
KY8,KY,Kentucky,17,21,51,1981 ,Amendment 1,Elected Officials' Terms, Legislative Referendum , General,0,39,0,0, Local Government | State Government | Term Limits ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,8,31
KY9,KY,Kentucky,17,21,51,1981 ,Amendment 2,Property Taxes, Legislative Referendum , General,1,50.59999847,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,31
KY10,KY,Kentucky,17,21,51,1984 ,Amendment 1,Sheriffs, Legislative Referendum , General,1,62.79999924,0,0, Local Government | Term Limits ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,31
KY11,KY,Kentucky,17,21,51,1986 ,Amendment 1,State Board of Education, Legislative Referendum , General,0,42.70000076,0,0, Education: PreK-12 | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,31
KY12,KY,Kentucky,17,21,51,1986 ,Amendment 2,Mayors, Legislative Referendum , General,1,57.59999847,0,0, Local Government | Term Limits ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,31
KY13,KY,Kentucky,17,21,51,1988 ,Amendment 1,State Lottery, Legislative Referendum , General,1,60.79999924,0,0, Gambling & Lotteries ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31
KY14,KY,Kentucky,17,21,51,1988 ,Amendment 2,Broad Form Deed, Legislative Referendum , General,1,82.5,0,0, Business & Commerce | Natural Resources ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,31
KY15,KY,Kentucky,17,21,51,1990 ,Amendment 2,Legislative Review of Administrative Regulations, Legislative Referendum , General,0,31.10000038,0,0, Legislatures | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15,31
KY16,KY,Kentucky,17,21,51,1990 ,Amendment 3,Local Government, Legislative Referendum , General,0,34.09999847,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,31
KY17,KY,Kentucky,17,21,51,1990 ,Amendment 1,Special Sessions of the General Assembly, Legislative Referendum , General,0,41.59999847,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,31
KY18,KY,Kentucky,17,21,51,1990 ,Amendment 4,Tax Exemption for Property Owned by Religious Institutions, Legislative Referendum , General,1,71.30000305,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,31
KY19,KY,Kentucky,17,21,51,1992 ,Amendment 3,State Government, Legislative Referendum , General,0,38.79999924,0,0, Elections | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,31
KY20,KY,Kentucky,17,21,51,1992 ,Amendment 2,State Government, Legislative Referendum , General,1,51.09999847,0,0, Elections | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,31
KY21,KY,Kentucky,17,21,51,1992 ,Amendment 1,Charitable Lotteries, Legislative Referendum , General,1,70.5,0,0, Gambling & Lotteries | Human Services ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31
KY22,KY,Kentucky,17,21,51,1994 ,Amendment 1,Local Government, Legislative Referendum , General,1,53.90000153,0,0, Budgets | Local Government ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,31
KY23,KY,Kentucky,17,21,51,1996 ,Amendment 1,"Removes obsolete constitutional language allowing poll taxes and requiring separate schools for ""white"" and ""colored"" children", Legislative Referendum , General,1,,0,0, Civil & Constitutional Law | Education: PreK-12 | Elections ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31
KY24,KY,Kentucky,17,21,51,1998 ,Amendment 1,Reduce the General Assembly's organizational session by five days and allow the General Assembly to meet in interim session in odd-numbered years for twenty-five days, Legislative Referendum , General,0,48.90000153,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,31
KY25,KY,Kentucky,17,21,51,1998 ,Amendment 2,Permit the General Assembly to exempt motor vehicles from property tax and extend the homestead property tax exemption to persons who are classified as totally disabled, Legislative Referendum , General,1,78.69999695,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,31
KY26,KY,Kentucky,17,21,51,2000 ,Amendment 2,Abolish the Railroad Commission, Legislative Referendum , General,1,51,0,0, State Government | Transportation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,31
KY27,KY,Kentucky,17,21,51,2000 ,Amendment 1,Establish Annual Sessions of the Legislature, Legislative Referendum , General,1,52,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,31
KY28,KY,Kentucky,17,21,51,2002 ,Constitutional Amendment 2,Corporations Amendment, Legislative Referendum , General,1,61.29999924,0,0, Business & Commerce ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31
KY29,KY,Kentucky,17,21,51,2002 ,Constitutional Amendment 1,Family Court Amendment, Legislative Referendum , General,1,76,0,0, Civil & Constitutional Law | Human Services | Judiciary ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31
KY30,KY,Kentucky,17,21,51,2004 ,Constitutional Amendment,Relating to Marriage, Legislative Referendum , General,1,74.59999847,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31
KY31,KY,Kentucky,17,21,51,2012 ,Amendment,"Right to Hunt, Fish and Harvest Wildlife", Legislative Referendum , General,1,84.5,0,1, Animal Rights/Hunting & Fishing ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
LA1,LA,Louisiana,18,22,45,1994 ,Constitutional Amendment 1,Permanent Trust Fund, Legislative Referendum , Primary,1,58,0,0, Budgets ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180
LA2,LA,Louisiana,18,22,45,1994 ,Constitutional Amendment 2,Louisiana Recreaction District Bonds, Legislative Referendum , Primary,1,64,0,0, Arts & Culture | Bond Measures ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180
LA3,LA,Louisiana,18,22,45,1994 ,Constitutional Amendment 4,Fly. Ct. Jurisdiction, Legislative Referendum , Primary,1,67,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,180
LA4,LA,Louisiana,18,22,45,1994 ,Constitutional Amendment 3,Juvenile Tried as Adult, Legislative Referendum , Primary,1,74,0,0, Criminal Justice | Juvenile Justice ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,180
LA5,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 4,Increase Mandatory Age of Retirement for Judges from 70 to 75, Legislative Referendum , Primary,0,38,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,180
LA6,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 8,Authorize Legislature to Enact Laws re: Hunting & Fishing, Legislative Referendum , Primary,0,43,0,0, Animal Rights/Hunting & Fishing ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,180
LA7,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 3,Legislature to Limit Liability in Lawsuits Against State/Local Governments, Legislative Referendum , Primary,1,58,0,0, Civil & Constitutional Law | Local Government | State Government ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,180
LA8,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment,"Jury Instructions Regarding Governor's Power to Grant Reprieve, Etc.", Legislative Referendum , Special,1,60,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,180
LA9,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 9,Provides Res. of Mineral Rights on Reclaimed, Legislative Referendum , Primary,1,61,0,0, Natural Resources ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,180
LA10,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 6,Require 2/3 Vote of Legislature to Increase or Enact Fees, Legislative Referendum , Primary,1,62,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,180
LA11,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 12,Creates Oil Spill Contingency Fund, Legislative Referendum , Primary,1,64,0,0, Budgets | Environmental Protection ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,180
LA12,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 11,Creates Oilfield Site Restoration Fund, Legislative Referendum , Primary,1,64,0,0, Budgets | Natural Resources ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,180
LA13,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 14,Time Owner Can Redeem Prop. in NO, Legislative Referendum , Primary,1,66,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,180
LA14,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 10,Prohibit Use of Min. Rev. Aud. & Stle. Fund, Legislative Referendum , Primary,1,67,0,0, Budgets ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,180
LA15,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 1,"Abolish Forced Heirship, With Exceptions", Legislative Referendum , Primary,1,68,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,180
LA16,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 15,Authorize NO to Donate Abandoned Property, Legislative Referendum , Primary,1,68,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,180
LA17,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 7,Limits Number of Times Tax Proposals Can Be Submitted, Legislative Referendum , Primary,1,69,0,0, Elections-Initiative Process | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,180
LA18,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 13,Veterans Eligible for Points Preference re: Civil Service, Legislative Referendum , Primary,1,70,0,0, Labor & Employment | Local Government | Military & Veterans Affairs | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,18,180
LA19,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 2,Provides a Term Limit of Three Terms on Legislators, Legislative Referendum , Primary,1,76,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,180
LA20,LA,Louisiana,18,22,45,1995 ,Constitutional Amendment 5,Creates Separate SB's, Legislative Referendum , Primary,1,,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,180
LA21,LA,Louisiana,18,22,45,1996 ,Constitutional Amendment 2,Property Exempt from Ad Valorem Tax, Legislative Referendum , Primary,1,54,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,180
LA22,LA,Louisiana,18,22,45,1996 ,Amend. No. 3,"Authorizes the legislature to exempt goods, tangible personal property or services from sales or use taxes", Legislative Referendum , General,1,61,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,180
